ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16258,47,156,0
1,1,365,16173,46,131,0
2,2,730,16100,63,136,0
3,3,1095,16023,65,142,0
4,4,1460,15944,60,139,0
5,5,1825,15830,56,170,0
6,6,2190,15739,68,159,0
7,7,2555,15648,58,149,0
8,8,2920,15549,65,164,0
9,9,3285,15471,74,152,0
10,10,3650,15416,79,134,0
11,11,4015,15332,75,159,0
12,12,4380,15253,82,161,0
13,13,4745,15169,84,168,0
14,14,5110,15075,60,154,0
15,15,5475,14979,76,172,0
16,16,5840,14881,73,171,0
17,17,6205,14814,97,164,0
18,18,6570,14721,92,185,0
19,19,6935,14622,93,192,0
20,20,7300,14514,89,197,0
