ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16277,62,154,0
1,1,365,16212,77,142,0
2,2,730,16162,76,126,0
3,3,1095,16077,64,149,0
4,4,1460,16012,76,141,0
5,5,1825,15936,91,167,0
6,6,2190,15886,91,141,0
7,7,2555,15827,93,152,0
8,8,2920,15771,90,146,0
9,9,3285,15687,91,175,0
10,10,3650,15636,116,167,0
11,11,4015,15580,109,165,0
12,12,4380,15533,115,162,0
13,13,4745,15485,112,160,0
14,14,5110,15444,100,141,0
15,15,5475,15393,130,181,0
16,16,5840,15351,128,170,0
17,17,6205,15300,107,158,0
18,18,6570,15226,116,190,0
19,19,6935,15152,111,185,0
20,20,7300,15071,113,194,0
