ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16285,65,147,0
1,1,365,16198,67,154,0
2,2,730,16102,64,160,0
3,3,1095,16038,84,148,0
4,4,1460,16005,91,124,0
5,5,1825,15979,106,132,0
6,6,2190,15908,96,167,0
7,7,2555,15867,90,131,0
8,8,2920,15818,95,144,0
9,9,3285,15755,90,153,0
10,10,3650,15759,141,137,0
11,11,4015,15728,117,148,0
12,12,4380,15674,121,175,0
13,13,4745,15611,121,184,0
14,14,5110,15552,96,155,0
15,15,5475,15483,114,183,0
16,16,5840,15430,123,176,0
17,17,6205,15363,134,201,0
18,18,6570,15316,135,182,0
19,19,6935,15273,135,178,0
20,20,7300,15234,153,192,0
