ind,time,age,male,female
0,0,0,31,30
1,0,1,129,124
2,0,2,145,120
3,0,3,140,143
4,0,4,122,152
5,0,5,149,152
6,0,6,140,138
7,0,7,137,139
8,0,8,160,168
9,0,9,141,166
10,0,10,159,150
11,0,11,148,135
12,0,12,158,140
13,0,13,157,128
14,0,14,160,149
15,0,15,156,140
16,0,16,149,151
17,0,17,153,152
18,0,18,149,131
19,0,19,137,154
20,0,20,135,162
21,0,21,86,87
22,0,22,83,77
23,0,23,75,94
24,0,24,89,88
25,0,25,69,81
26,0,26,75,92
27,0,27,81,76
28,0,28,83,92
29,0,29,83,90
30,0,30,88,86
31,0,31,98,77
32,0,32,93,88
33,0,33,106,95
34,0,34,105,104
35,0,35,107,105
36,0,36,119,117
37,0,37,116,85
38,0,38,105,115
39,0,39,103,140
40,0,40,109,104
41,0,41,106,125
42,0,42,100,94
43,0,43,89,99
44,0,44,104,102
45,0,45,105,91
46,0,46,85,91
47,0,47,91,87
48,0,48,89,109
49,0,49,99,83
50,0,50,83,87
51,0,51,138,154
52,0,52,151,130
53,0,53,128,134
54,0,54,127,120
55,0,55,123,126
56,0,56,105,118
57,0,57,111,119
58,0,58,102,92
59,0,59,77,90
60,0,60,93,86
61,0,61,63,80
62,0,62,85,92
63,0,63,70,62
64,0,64,68,70
65,0,65,67,80
66,0,66,53,62
67,0,67,61,72
68,0,68,51,54
69,0,69,48,49
70,0,70,49,54
71,0,71,48,47
72,0,72,31,45
73,0,73,51,48
74,0,74,39,50
75,0,75,44,38
76,0,76,40,37
77,0,77,40,34
78,0,78,27,25
79,0,79,21,23
80,0,80,21,29
81,0,81,21,17
82,0,82,9,17
83,0,83,10,17
84,0,84,15,13
85,0,85,13,19
86,0,86,10,7
87,0,87,13,15
88,0,88,15,4
89,0,89,6,6
90,0,90,10,10
91,0,91,8,12
92,0,92,8,8
93,0,93,7,7
94,0,94,5,7
95,0,95,8,1
96,0,96,6,4
97,0,97,6,5
98,0,98,5,1
99,0,99,4,3
100,0,100,1,2
101,0,101,0,0
102,1,0,32,35
103,1,1,31,30
104,1,2,129,124
105,1,3,145,120
106,1,4,140,143
107,1,5,121,152
108,1,6,149,152
109,1,7,140,138
110,1,8,137,139
111,1,9,160,168
112,1,10,141,166
113,1,11,159,150
114,1,12,148,135
115,1,13,158,140
116,1,14,157,128
117,1,15,160,149
118,1,16,156,140
119,1,17,149,151
120,1,18,153,152
121,1,19,149,131
122,1,20,137,154
123,1,21,135,162
124,1,22,86,87
125,1,23,83,77
126,1,24,75,94
127,1,25,89,86
128,1,26,69,81
129,1,27,75,92
130,1,28,81,76
131,1,29,83,92
132,1,30,83,90
133,1,31,88,86
134,1,32,98,77
135,1,33,93,88
136,1,34,106,95
137,1,35,105,104
138,1,36,107,105
139,1,37,119,117
140,1,38,116,85
141,1,39,105,115
142,1,40,103,140
143,1,41,109,104
144,1,42,106,125
145,1,43,100,94
146,1,44,89,97
147,1,45,104,102
148,1,46,105,91
149,1,47,85,90
150,1,48,90,87
151,1,49,89,109
152,1,50,99,82
153,1,51,83,86
154,1,52,138,153
155,1,53,149,126
156,1,54,127,133
157,1,55,125,120
158,1,56,123,125
159,1,57,104,118
160,1,58,110,118
161,1,59,99,90
162,1,60,75,90
163,1,61,93,86
164,1,62,63,80
165,1,63,84,91
166,1,64,69,62
167,1,65,68,69
168,1,66,65,78
169,1,67,53,62
170,1,68,58,70
171,1,69,51,51
172,1,70,45,48
173,1,71,48,53
174,1,72,45,45
175,1,73,29,45
176,1,74,50,46
177,1,75,37,48
178,1,76,42,38
179,1,77,34,36
180,1,78,36,33
181,1,79,23,25
182,1,80,17,21
183,1,81,19,25
184,1,82,20,17
185,1,83,7,17
186,1,84,9,16
187,1,85,14,12
188,1,86,11,19
189,1,87,8,5
190,1,88,10,12
191,1,89,13,3
192,1,90,5,5
193,1,91,10,9
194,1,92,7,10
195,1,93,7,5
196,1,94,6,4
197,1,95,5,7
198,1,96,5,0
199,1,97,4,3
200,1,98,6,1
201,1,99,5,1
202,1,100,2,3
203,1,101,0,0
204,2,0,22,27
205,2,1,32,35
206,2,2,31,30
207,2,3,129,124
208,2,4,145,120
209,2,5,140,142
210,2,6,121,152
211,2,7,149,152
212,2,8,140,138
213,2,9,137,139
214,2,10,160,168
215,2,11,141,166
216,2,12,159,150
217,2,13,148,135
218,2,14,158,139
219,2,15,157,128
220,2,16,160,149
221,2,17,156,140
222,2,18,149,151
223,2,19,153,152
224,2,20,149,131
225,2,21,137,154
226,2,22,135,162
227,2,23,85,87
228,2,24,83,77
229,2,25,75,94
230,2,26,89,86
231,2,27,69,81
232,2,28,75,92
233,2,29,81,76
234,2,30,83,92
235,2,31,83,90
236,2,32,87,86
237,2,33,98,77
238,2,34,93,88
239,2,35,106,95
240,2,36,105,104
241,2,37,107,105
242,2,38,119,117
243,2,39,116,85
244,2,40,104,115
245,2,41,103,140
246,2,42,109,104
247,2,43,105,124
248,2,44,100,94
249,2,45,89,96
250,2,46,104,101
251,2,47,104,91
252,2,48,85,90
253,2,49,89,87
254,2,50,89,109
255,2,51,99,82
256,2,52,81,86
257,2,53,137,152
258,2,54,148,126
259,2,55,126,133
260,2,56,125,119
261,2,57,123,125
262,2,58,103,118
263,2,59,110,118
264,2,60,98,88
265,2,61,73,90
266,2,62,92,86
267,2,63,61,80
268,2,64,84,91
269,2,65,68,61
270,2,66,65,68
271,2,67,62,78
272,2,68,50,61
273,2,69,57,70
274,2,70,51,49
275,2,71,45,48
276,2,72,45,52
277,2,73,45,43
278,2,74,27,43
279,2,75,48,43
280,2,76,35,48
281,2,77,37,38
282,2,78,31,33
283,2,79,33,31
284,2,80,19,25
285,2,81,13,21
286,2,82,17,23
287,2,83,18,16
288,2,84,7,13
289,2,85,7,15
290,2,86,13,9
291,2,87,9,17
292,2,88,7,5
293,2,89,9,11
294,2,90,12,3
295,2,91,4,4
296,2,92,6,6
297,2,93,6,8
298,2,94,6,4
299,2,95,4,4
300,2,96,3,7
301,2,97,4,0
302,2,98,2,3
303,2,99,4,1
304,2,100,5,1
305,2,101,0,0
306,3,0,31,25
307,3,1,22,27
308,3,2,32,35
309,3,3,31,30
310,3,4,129,124
311,3,5,145,120
312,3,6,140,142
313,3,7,121,152
314,3,8,149,152
315,3,9,140,138
316,3,10,137,139
317,3,11,160,168
318,3,12,141,166
319,3,13,159,150
