ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16301,59,127,0
1,1,365,16236,51,116,0
2,2,730,16135,49,150,0
3,3,1095,16026,47,156,0
4,4,1460,15953,56,129,0
5,5,1825,15873,60,140,0
6,6,2190,15802,68,139,0
7,7,2555,15723,61,140,0
8,8,2920,15623,65,165,0
9,9,3285,15538,54,139,0
10,10,3650,15476,69,131,0
11,11,4015,15367,65,174,0
12,12,4380,15270,72,169,0
13,13,4745,15171,61,160,0
14,14,5110,15077,70,164,0
15,15,5475,14965,56,168,0
16,16,5840,14862,68,171,0
17,17,6205,14746,76,192,0
18,18,6570,14625,87,208,0
19,19,6935,14525,68,168,0
20,20,7300,14414,86,197,0
