ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16273,50,146,0
1,1,365,16188,49,134,0
2,2,730,16083,52,157,0
3,3,1095,16004,70,149,0
4,4,1460,15951,65,118,0
5,5,1825,15883,62,130,0
6,6,2190,15797,60,146,0
7,7,2555,15717,54,134,0
8,8,2920,15634,71,154,0
9,9,3285,15568,79,145,0
10,10,3650,15474,67,161,0
11,11,4015,15401,72,145,0
12,12,4380,15335,79,145,0
13,13,4745,15256,75,154,0
14,14,5110,15152,73,177,0
15,15,5475,15069,67,150,0
16,16,5840,14963,69,175,0
17,17,6205,14870,85,178,0
18,18,6570,14761,81,190,0
19,19,6935,14675,97,183,0
20,20,7300,14545,68,198,0
