ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16294,51,125,0
1,1,365,16179,31,146,0
2,2,730,16056,26,149,0
3,3,1095,15945,24,135,0
4,4,1460,15825,20,140,0
5,5,1825,15710,31,146,0
6,6,2190,15597,32,145,0
7,7,2555,15485,25,137,0
8,8,2920,15366,29,148,0
9,9,3285,15258,22,130,0
10,10,3650,15124,23,157,0
11,11,4015,15004,33,153,0
12,12,4380,14877,32,159,0
13,13,4745,14732,25,170,0
14,14,5110,14582,26,176,0
15,15,5475,14434,36,184,0
16,16,5840,14301,37,170,0
17,17,6205,14168,40,173,0
18,18,6570,14016,32,184,0
19,19,6935,13862,31,185,0
20,20,7300,13691,30,201,0
