ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16297,54,125,0
1,1,365,16209,58,146,0
2,2,730,16134,57,132,0
3,3,1095,16040,48,142,0
4,4,1460,15937,45,148,0
5,5,1825,15840,49,146,0
6,6,2190,15754,57,143,0
7,7,2555,15644,38,148,0
8,8,2920,15544,53,153,0
9,9,3285,15437,61,168,0
10,10,3650,15336,59,160,0
11,11,4015,15268,72,140,0
12,12,4380,15157,57,168,0
13,13,4745,15054,62,165,0
14,14,5110,14970,65,149,0
15,15,5475,14863,70,177,0
16,16,5840,14766,88,185,0
17,17,6205,14635,67,198,0
18,18,6570,14538,76,173,0
19,19,6935,14406,61,193,0
20,20,7300,14270,70,206,0
