ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16298,65,136,0
1,1,365,16244,63,117,0
2,2,730,16179,73,138,0
3,3,1095,16109,80,150,0
4,4,1460,16046,67,130,0
5,5,1825,15964,68,150,0
6,6,2190,15912,94,146,0
7,7,2555,15856,84,140,0
8,8,2920,15793,85,148,0
9,9,3285,15746,111,158,0
10,10,3650,15672,81,155,0
11,11,4015,15623,106,155,0
12,12,4380,15546,82,159,0
13,13,4745,15499,95,142,0
14,14,5110,15439,126,186,0
15,15,5475,15356,117,200,0
16,16,5840,15298,115,173,0
17,17,6205,15259,145,184,0
18,18,6570,15205,113,167,0
19,19,6935,15175,162,192,0
20,20,7300,15119,124,180,0
