ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16299,63,131,0
1,1,365,16212,52,139,0
2,2,730,16105,73,180,0
3,3,1095,16033,85,157,0
4,4,1460,15959,85,159,0
5,5,1825,15905,81,135,0
6,6,2190,15882,90,113,0
7,7,2555,15829,93,146,0
8,8,2920,15783,86,132,0
9,9,3285,15722,105,166,0
10,10,3650,15664,111,169,0
11,11,4015,15601,104,167,0
12,12,4380,15544,97,154,0
13,13,4745,15496,105,153,0
14,14,5110,15431,109,174,0
15,15,5475,15393,120,158,0
16,16,5840,15334,120,179,0
17,17,6205,15287,119,166,0
18,18,6570,15236,128,179,0
19,19,6935,15203,138,171,0
20,20,7300,15135,131,199,0
