ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16278,58,147,0
1,1,365,16207,62,133,0
2,2,730,16132,66,141,0
3,3,1095,16037,53,148,0
4,4,1460,15943,51,145,0
5,5,1825,15903,78,118,0
6,6,2190,15845,74,132,0
7,7,2555,15768,82,159,0
8,8,2920,15687,71,152,0
9,9,3285,15602,91,176,0
10,10,3650,15547,76,131,0
11,11,4015,15482,82,147,0
12,12,4380,15399,77,160,0
13,13,4745,15280,60,179,0
14,14,5110,15203,91,168,0
15,15,5475,15101,86,188,0
16,16,5840,15022,91,170,0
17,17,6205,14916,92,198,0
18,18,6570,14834,90,172,0
19,19,6935,14744,104,194,0
20,20,7300,14637,92,199,0
