ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16304,65,130,0
1,1,365,16206,54,152,0
2,2,730,16134,56,128,0
3,3,1095,16055,61,140,0
4,4,1460,15944,50,161,0
5,5,1825,15855,50,139,0
6,6,2190,15764,59,150,0
7,7,2555,15668,65,161,0
8,8,2920,15588,54,134,0
9,9,3285,15521,63,130,0
10,10,3650,15439,83,165,0
11,11,4015,15360,73,152,0
12,12,4380,15264,62,158,0
13,13,4745,15150,67,181,0
14,14,5110,15055,72,167,0
15,15,5475,14967,55,143,0
16,16,5840,14849,80,198,0
17,17,6205,14761,81,169,0
18,18,6570,14677,98,182,0
19,19,6935,14579,75,173,0
20,20,7300,14477,84,186,0
