ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16274,52,146,0
1,1,365,16193,65,146,0
2,2,730,16118,73,148,0
3,3,1095,16064,83,137,0
4,4,1460,16014,84,134,0
5,5,1825,15955,90,149,0
6,6,2190,15888,90,157,0
7,7,2555,15842,91,137,0
8,8,2920,15765,91,168,0
9,9,3285,15742,111,134,0
10,10,3650,15729,127,140,0
11,11,4015,15645,94,178,0
12,12,4380,15630,127,142,0
13,13,4745,15602,127,155,0
14,14,5110,15557,138,183,0
15,15,5475,15477,113,193,0
16,16,5840,15434,141,184,0
17,17,6205,15401,149,182,0
18,18,6570,15360,141,182,0
19,19,6935,15314,159,205,0
20,20,7300,15259,133,188,0
