ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16270,45,144,0
1,1,365,16176,58,152,0
2,2,730,16095,58,139,0
3,3,1095,16010,45,130,0
4,4,1460,15919,58,149,0
5,5,1825,15835,49,133,0
6,6,2190,15737,58,156,0
7,7,2555,15622,57,172,0
8,8,2920,15524,59,157,0
9,9,3285,15441,67,150,0
10,10,3650,15340,53,154,0
11,11,4015,15245,64,159,0
12,12,4380,15154,63,154,0
13,13,4745,15047,59,166,0
14,14,5110,14965,74,156,0
15,15,5475,14865,70,170,0
16,16,5840,14773,76,168,0
17,17,6205,14673,87,187,0
18,18,6570,14566,75,182,0
19,19,6935,14438,82,210,0
20,20,7300,14342,99,195,0
