ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16296,71,143,0
1,1,365,16221,63,138,0
2,2,730,16136,57,142,0
3,3,1095,16055,63,144,0
4,4,1460,15986,78,147,0
5,5,1825,15929,82,139,0
6,6,2190,15847,88,170,0
7,7,2555,15795,85,137,0
8,8,2920,15751,84,128,0
9,9,3285,15698,107,160,0
10,10,3650,15644,101,155,0
11,11,4015,15608,104,140,0
12,12,4380,15559,112,161,0
13,13,4745,15516,117,160,0
14,14,5110,15467,118,167,0
15,15,5475,15418,114,163,0
16,16,5840,15382,120,156,0
17,17,6205,15313,112,181,0
18,18,6570,15243,122,192,0
19,19,6935,15202,129,170,0
20,20,7300,15165,147,184,0
