ind,time,age,male,female
0,0,0,42,27
1,0,1,155,121
2,0,2,134,130
3,0,3,129,144
4,0,4,147,128
5,0,5,139,134
6,0,6,163,161
7,0,7,152,178
8,0,8,160,146
9,0,9,159,156
10,0,10,150,165
11,0,11,159,150
12,0,12,134,156
13,0,13,167,154
14,0,14,159,157
15,0,15,128,135
16,0,16,132,132
17,0,17,144,128
18,0,18,128,129
19,0,19,133,126
20,0,20,123,135
21,0,21,86,74
22,0,22,81,96
23,0,23,82,81
24,0,24,82,87
25,0,25,85,80
26,0,26,78,91
27,0,27,80,99
28,0,28,85,101
29,0,29,85,96
30,0,30,121,91
31,0,31,103,108
32,0,32,109,93
33,0,33,90,104
34,0,34,88,99
35,0,35,113,94
36,0,36,114,123
37,0,37,109,109
38,0,38,99,109
39,0,39,107,96
40,0,40,113,106
41,0,41,102,125
42,0,42,88,113
43,0,43,102,105
44,0,44,116,104
45,0,45,85,127
46,0,46,90,97
47,0,47,104,94
48,0,48,93,98
49,0,49,79,79
50,0,50,78,92
51,0,51,151,137
52,0,52,143,144
53,0,53,121,133
54,0,54,111,111
55,0,55,121,108
56,0,56,96,114
57,0,57,89,102
58,0,58,74,123
59,0,59,91,101
60,0,60,88,86
61,0,61,78,73
62,0,62,69,79
63,0,63,71,68
64,0,64,64,83
65,0,65,60,79
66,0,66,65,68
67,0,67,70,70
68,0,68,52,48
69,0,69,74,56
70,0,70,52,62
71,0,71,44,45
72,0,72,52,51
73,0,73,37,43
74,0,74,40,45
75,0,75,34,30
76,0,76,28,28
77,0,77,35,37
78,0,78,27,24
79,0,79,18,26
80,0,80,20,23
81,0,81,22,23
82,0,82,18,18
83,0,83,16,24
84,0,84,16,15
85,0,85,15,20
86,0,86,9,8
87,0,87,9,6
88,0,88,14,12
89,0,89,12,10
90,0,90,7,12
91,0,91,11,9
92,0,92,4,7
93,0,93,9,10
94,0,94,8,5
95,0,95,7,4
96,0,96,2,6
97,0,97,1,4
98,0,98,3,4
99,0,99,3,0
100,0,100,1,3
101,0,101,0,0
102,1,0,45,45
103,1,1,42,26
104,1,2,155,120
105,1,3,134,130
106,1,4,129,144
107,1,5,147,128
108,1,6,139,134
109,1,7,163,161
110,1,8,152,178
111,1,9,160,146
112,1,10,159,156
113,1,11,150,165
114,1,12,159,150
115,1,13,134,156
116,1,14,167,154
117,1,15,159,157
118,1,16,128,135
119,1,17,132,132
120,1,18,144,128
121,1,19,128,129
122,1,20,133,126
123,1,21,123,135
124,1,22,86,74
125,1,23,81,96
126,1,24,82,81
127,1,25,81,87
128,1,26,84,80
129,1,27,78,91
130,1,28,80,98
131,1,29,85,101
132,1,30,85,96
133,1,31,120,91
134,1,32,103,108
135,1,33,109,91
136,1,34,90,104
137,1,35,88,99
138,1,36,113,94
139,1,37,114,123
140,1,38,109,109
141,1,39,98,109
142,1,40,107,96
143,1,41,113,106
144,1,42,102,125
145,1,43,88,113
146,1,44,102,105
147,1,45,116,104
148,1,46,85,127
149,1,47,90,97
150,1,48,104,94
151,1,49,92,98
152,1,50,79,79
153,1,51,78,91
154,1,52,151,136
155,1,53,143,143
156,1,54,121,132
157,1,55,111,110
158,1,56,117,106
159,1,57,95,114
160,1,58,89,102
161,1,59,74,123
162,1,60,90,100
163,1,61,86,86
164,1,62,76,72
165,1,63,67,76
166,1,64,71,68
167,1,65,62,83
168,1,66,58,78
169,1,67,64,67
170,1,68,67,69
171,1,69,51,48
172,1,70,73,55
173,1,71,50,61
174,1,72,42,44
175,1,73,50,50
176,1,74,37,41
177,1,75,38,45
178,1,76,32,30
179,1,77,24,26
180,1,78,30,35
181,1,79,24,21
182,1,80,17,24
183,1,81,19,22
184,1,82,21,23
185,1,83,12,17
186,1,84,15,22
187,1,85,13,15
188,1,86,15,15
189,1,87,9,8
190,1,88,9,6
191,1,89,13,12
192,1,90,11,10
193,1,91,6,10
194,1,92,10,7
195,1,93,3,7
196,1,94,8,9
197,1,95,6,4
198,1,96,7,3
199,1,97,1,4
200,1,98,1,4
201,1,99,2,3
202,1,100,3,0
203,1,101,0,0
204,2,0,37,42
205,2,1,45,45
206,2,2,42,26
207,2,3,155,120
208,2,4,133,130
209,2,5,129,144
210,2,6,147,128
211,2,7,139,134
212,2,8,163,160
213,2,9,152,178
214,2,10,160,146
215,2,11,159,156
216,2,12,150,165
217,2,13,159,150
218,2,14,134,156
219,2,15,167,154
220,2,16,159,157
221,2,17,128,135
222,2,18,132,132
223,2,19,144,128
224,2,20,128,129
225,2,21,133,126
226,2,22,123,135
227,2,23,86,74
228,2,24,80,96
229,2,25,82,81
230,2,26,81,87
231,2,27,84,80
232,2,28,78,91
233,2,29,80,98
234,2,30,84,101
235,2,31,85,95
236,2,32,119,91
237,2,33,103,108
238,2,34,109,91
239,2,35,89,104
240,2,36,88,99
241,2,37,113,94
242,2,38,114,123
243,2,39,109,109
244,2,40,98,109
245,2,41,106,95
246,2,42,113,105
247,2,43,102,125
248,2,44,88,113
249,2,45,102,105
250,2,46,116,104
251,2,47,85,127
252,2,48,89,97
253,2,49,104,94
254,2,50,91,98
255,2,51,78,79
256,2,52,78,91
257,2,53,148,135
258,2,54,142,142
259,2,55,120,131
260,2,56,111,109
261,2,57,116,105
262,2,58,94,113
263,2,59,89,101
264,2,60,73,123
265,2,61,88,100
266,2,62,85,86
267,2,63,74,70
268,2,64,67,76
269,2,65,69,68
270,2,66,61,82
271,2,67,55,77
272,2,68,60,65
273,2,69,65,69
274,2,70,51,47
275,2,71,70,54
276,2,72,49,60
277,2,73,40,43
278,2,74,48,50
279,2,75,35,40
280,2,76,37,44
281,2,77,30,30
282,2,78,23,25
283,2,79,26,35
284,2,80,23,19
285,2,81,16,22
286,2,82,16,22
287,2,83,18,22
288,2,84,10,17
289,2,85,12,17
290,2,86,12,13
291,2,87,14,13
292,2,88,6,8
293,2,89,7,6
294,2,90,12,9
295,2,91,10,9
296,2,92,5,8
297,2,93,8,6
298,2,94,3,7
299,2,95,7,6
300,2,96,5,3
301,2,97,4,2
302,2,98,0,3
303,2,99,0,3
304,2,100,2,2
305,2,101,0,0
306,3,0,72,51
307,3,1,37,42
308,3,2,45,45
309,3,3,42,26
310,3,4,155,120
311,3,5,133,130
312,3,6,128,144
313,3,7,147,128
314,3,8,139,134
315,3,9,163,160
316,3,10,152,178
317,3,11,160,146
318,3,12,159,156
319,3,13,150,165
320,3,14,159,149
321,3,15,134,156
322,3,16,166,154
323,3,17,159,157
324,3,18,128,135
