ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16277,62,154,0
1,1,365,16206,76,147,0
2,2,730,16146,83,143,0
3,3,1095,16085,81,142,0
4,4,1460,16013,92,164,0
5,5,1825,15970,91,134,0
6,6,2190,15922,92,140,0
7,7,2555,15861,91,152,0
8,8,2920,15793,93,161,0
9,9,3285,15748,93,138,0
10,10,3650,15710,99,137,0
11,11,4015,15640,95,165,0
12,12,4380,15587,103,156,0
13,13,4745,15523,94,158,0
14,14,5110,15484,125,164,0
15,15,5475,15410,121,195,0
16,16,5840,15341,108,177,0
17,17,6205,15280,119,180,0
18,18,6570,15236,130,174,0
19,19,6935,15202,151,185,0
20,20,7300,15155,133,180,0
