ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16264,50,153,0
1,1,365,16190,73,147,0
2,2,730,16112,64,142,0
3,3,1095,16062,75,125,0
4,4,1460,15979,79,162,0
5,5,1825,15897,67,149,0
6,6,2190,15864,98,131,0
7,7,2555,15816,96,144,0
8,8,2920,15772,100,144,0
9,9,3285,15711,105,166,0
10,10,3650,15675,105,141,0
11,11,4015,15634,111,152,0
12,12,4380,15600,114,148,0
13,13,4745,15535,121,186,0
14,14,5110,15493,126,168,0
15,15,5475,15447,135,181,0
16,16,5840,15365,120,202,0
17,17,6205,15334,138,169,0
18,18,6570,15288,144,190,0
19,19,6935,15228,125,185,0
20,20,7300,15165,129,192,0
