ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16297,63,133,0
1,1,365,16246,86,137,0
2,2,730,16176,67,137,0
3,3,1095,16096,81,161,0
4,4,1460,16038,87,145,0
5,5,1825,15955,83,166,0
6,6,2190,15883,87,159,0
7,7,2555,15846,107,144,0
8,8,2920,15816,91,121,0
9,9,3285,15760,99,155,0
10,10,3650,15717,109,152,0
11,11,4015,15696,134,155,0
12,12,4380,15654,117,159,0
13,13,4745,15628,119,145,0
14,14,5110,15602,136,162,0
15,15,5475,15546,137,193,0
16,16,5840,15524,133,155,0
17,17,6205,15488,142,178,0
18,18,6570,15449,126,165,0
19,19,6935,15410,133,172,0
20,20,7300,15327,122,205,0
