ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16281,58,144,0
1,1,365,16210,73,144,0
2,2,730,16148,77,139,0
3,3,1095,16098,88,138,0
4,4,1460,16057,92,133,0
5,5,1825,16009,80,128,0
6,6,2190,15943,74,140,0
7,7,2555,15909,106,140,0
8,8,2920,15851,95,153,0
9,9,3285,15780,109,180,0
10,10,3650,15707,88,161,0
11,11,4015,15664,105,148,0
12,12,4380,15635,115,144,0
13,13,4745,15574,109,170,0
14,14,5110,15530,110,154,0
15,15,5475,15489,136,177,0
16,16,5840,15432,111,168,0
17,17,6205,15398,150,184,0
18,18,6570,15317,119,200,0
19,19,6935,15246,131,202,0
20,20,7300,15197,127,176,0
