ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16259,17,127,0
1,1,365,16116,19,162,0
2,2,730,15987,12,141,0
3,3,1095,15860,8,135,0
4,4,1460,15715,13,158,0
5,5,1825,15559,7,163,0
6,6,2190,15414,19,164,0
7,7,2555,15296,18,136,0
8,8,2920,15171,22,147,0
9,9,3285,15033,19,157,0
10,10,3650,14887,11,157,0
11,11,4015,14726,18,179,0
12,12,4380,14583,12,155,0
13,13,4745,14433,14,164,0
14,14,5110,14283,16,166,0
15,15,5475,14108,16,191,0
16,16,5840,13961,23,170,0
17,17,6205,13796,20,185,0
18,18,6570,13643,25,178,0
19,19,6935,13474,21,190,0
20,20,7300,13304,15,185,0
