ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16281,58,144,0
1,1,365,16221,76,136,0
2,2,730,16156,86,151,0
3,3,1095,16082,68,142,0
4,4,1460,16004,86,164,0
5,5,1825,15926,67,145,0
6,6,2190,15856,74,144,0
7,7,2555,15784,91,163,0
8,8,2920,15732,104,156,0
9,9,3285,15695,111,148,0
10,10,3650,15630,91,156,0
11,11,4015,15575,103,158,0
12,12,4380,15526,101,150,0
13,13,4745,15473,119,172,0
14,14,5110,15436,121,158,0
15,15,5475,15401,118,153,0
16,16,5840,15352,134,183,0
17,17,6205,15286,113,179,0
18,18,6570,15250,128,164,0
19,19,6935,15199,128,179,0
20,20,7300,15142,133,190,0
