ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16277,62,154,0
1,1,365,16179,74,172,0
2,2,730,16117,70,132,0
3,3,1095,16067,79,129,0
4,4,1460,16011,85,141,0
5,5,1825,15936,86,161,0
6,6,2190,15851,92,177,0
7,7,2555,15811,93,133,0
8,8,2920,15774,84,121,0
9,9,3285,15702,93,165,0
10,10,3650,15615,91,178,0
11,11,4015,15554,115,176,0
12,12,4380,15511,116,159,0
13,13,4745,15460,107,158,0
14,14,5110,15383,101,178,0
15,15,5475,15309,102,176,0
16,16,5840,15246,109,172,0
17,17,6205,15206,129,169,0
18,18,6570,15120,126,212,0
19,19,6935,15044,119,195,0
20,20,7300,14989,137,192,0
