ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16296,71,143,0
1,1,365,16223,66,139,0
2,2,730,16172,76,127,0
3,3,1095,16108,77,141,0
4,4,1460,16049,71,130,0
5,5,1825,15978,78,149,0
6,6,2190,15925,100,153,0
7,7,2555,15863,88,150,0
8,8,2920,15802,97,158,0
9,9,3285,15761,107,148,0
10,10,3650,15689,102,174,0
11,11,4015,15627,112,174,0
12,12,4380,15571,109,165,0
13,13,4745,15546,129,154,0
14,14,5110,15488,101,159,0
15,15,5475,15445,133,176,0
16,16,5840,15384,110,171,0
17,17,6205,15301,116,199,0
18,18,6570,15249,136,188,0
19,19,6935,15183,109,175,0
20,20,7300,15142,138,179,0
