ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16281,55,141,0
1,1,365,16182,47,146,0
2,2,730,16090,39,131,0
3,3,1095,15988,33,135,0
4,4,1460,15862,38,164,0
5,5,1825,15739,34,157,0
6,6,2190,15631,38,146,0
7,7,2555,15520,37,148,0
8,8,2920,15400,22,142,0
9,9,3285,15286,30,144,0
10,10,3650,15167,22,141,0
11,11,4015,15035,17,149,0
12,12,4380,14891,13,157,0
13,13,4745,14742,16,165,0
14,14,5110,14568,10,184,0
15,15,5475,14407,11,172,0
16,16,5840,14234,11,184,0
17,17,6205,14058,5,181,0
18,18,6570,13883,9,184,0
19,19,6935,13716,1,168,0
20,20,7300,13544,11,183,0
