ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16288,69,149,0
1,1,365,16208,69,149,0
2,2,730,16104,57,161,0
3,3,1095,16027,77,154,0
4,4,1460,15956,73,144,0
5,5,1825,15918,87,125,0
6,6,2190,15844,83,157,0
7,7,2555,15781,90,153,0
8,8,2920,15708,76,149,0
9,9,3285,15682,115,141,0
10,10,3650,15642,96,136,0
11,11,4015,15561,97,178,0
12,12,4380,15498,101,164,0
13,13,4745,15439,120,179,0
14,14,5110,15404,122,157,0
15,15,5475,15344,113,173,0
16,16,5840,15308,129,165,0
17,17,6205,15266,135,177,0
18,18,6570,15218,128,176,0
19,19,6935,15160,136,194,0
20,20,7300,15101,112,171,0
