ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16277,62,154,0
1,1,365,16207,84,154,0
2,2,730,16112,62,157,0
3,3,1095,16065,84,131,0
4,4,1460,15998,78,145,0
5,5,1825,15967,98,129,0
6,6,2190,15912,95,150,0
7,7,2555,15843,84,153,0
8,8,2920,15791,96,148,0
9,9,3285,15689,101,203,0
10,10,3650,15614,91,166,0
11,11,4015,15560,118,172,0
12,12,4380,15465,80,175,0
13,13,4745,15430,113,148,0
14,14,5110,15380,117,167,0
15,15,5475,15314,111,177,0
16,16,5840,15240,109,183,0
17,17,6205,15183,130,187,0
18,18,6570,15145,112,150,0
19,19,6935,15093,122,174,0
20,20,7300,15023,129,199,0
