ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16286,66,148,0
1,1,365,16220,71,137,0
2,2,730,16136,61,145,0
3,3,1095,16065,76,147,0
4,4,1460,15976,48,137,0
5,5,1825,15880,61,157,0
6,6,2190,15797,73,156,0
7,7,2555,15710,63,150,0
8,8,2920,15633,77,154,0
9,9,3285,15557,69,145,0
10,10,3650,15497,97,157,0
11,11,4015,15451,75,121,0
12,12,4380,15351,72,172,0
13,13,4745,15280,91,162,0
14,14,5110,15214,97,163,0
15,15,5475,15129,92,177,0
16,16,5840,15047,86,168,0
17,17,6205,14950,112,209,0
18,18,6570,14889,110,171,0
19,19,6935,14823,113,179,0
20,20,7300,14764,122,181,0
