ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,49,138,0
1,1,365,16185,70,164,0
2,2,730,16122,76,139,0
3,3,1095,16063,71,130,0
4,4,1460,15998,79,144,0
5,5,1825,15914,81,165,0
6,6,2190,15842,80,152,0
7,7,2555,15759,82,165,0
8,8,2920,15713,101,147,0
9,9,3285,15678,104,139,0
10,10,3650,15635,92,135,0
11,11,4015,15586,121,170,0
12,12,4380,15537,110,159,0
13,13,4745,15512,131,156,0
14,14,5110,15463,105,154,0
15,15,5475,15397,112,178,0
16,16,5840,15310,117,204,0
17,17,6205,15266,147,191,0
18,18,6570,15216,149,199,0
19,19,6935,15160,134,190,0
20,20,7300,15149,155,166,0
