ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16275,58,150,0
1,1,365,16188,54,141,0
2,2,730,16129,73,132,0
3,3,1095,16058,90,161,0
4,4,1460,15993,89,154,0
5,5,1825,15963,100,130,0
6,6,2190,15875,86,174,0
7,7,2555,15829,98,144,0
8,8,2920,15785,82,126,0
9,9,3285,15739,110,156,0
10,10,3650,15703,111,147,0
11,11,4015,15674,119,148,0
12,12,4380,15636,121,159,0
13,13,4745,15590,114,160,0
14,14,5110,15541,124,173,0
15,15,5475,15493,127,175,0
16,16,5840,15442,113,164,0
17,17,6205,15394,134,182,0
18,18,6570,15356,134,172,0
19,19,6935,15296,121,181,0
20,20,7300,15219,125,202,0
