ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16313,67,121,0
1,1,365,16242,60,131,0
2,2,730,16154,64,152,0
3,3,1095,16087,76,143,0
4,4,1460,16020,72,139,0
5,5,1825,15954,68,134,0
6,6,2190,15891,91,154,0
7,7,2555,15875,111,127,0
8,8,2920,15841,88,122,0
9,9,3285,15767,106,180,0
10,10,3650,15699,94,162,0
11,11,4015,15652,107,154,0
12,12,4380,15583,89,158,0
13,13,4745,15536,125,172,0
14,14,5110,15455,106,187,0
15,15,5475,15373,100,182,0
16,16,5840,15305,114,182,0
17,17,6205,15243,118,180,0
18,18,6570,15179,119,183,0
19,19,6935,15104,100,175,0
20,20,7300,15019,100,185,0
