ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16237,14,145,0
1,1,365,16110,11,138,0
2,2,730,15973,12,149,0
3,3,1095,15858,14,129,0
4,4,1460,15715,15,158,0
5,5,1825,15579,10,146,0
6,6,2190,15448,7,138,0
7,7,2555,15308,13,153,0
8,8,2920,15176,16,148,0
9,9,3285,15026,15,165,0
10,10,3650,14902,20,144,0
11,11,4015,14760,17,159,0
12,12,4380,14615,16,161,0
13,13,4745,14478,17,154,0
14,14,5110,14335,21,164,0
15,15,5475,14190,11,156,0
16,16,5840,14058,22,154,0
17,17,6205,13898,23,183,0
18,18,6570,13747,20,171,0
19,19,6935,13567,19,199,0
20,20,7300,13406,13,174,0
