ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16280,63,150,0
1,1,365,16219,79,140,0
2,2,730,16119,62,162,0
3,3,1095,16046,61,134,0
4,4,1460,15961,79,164,0
5,5,1825,15879,77,159,0
6,6,2190,15781,89,187,0
7,7,2555,15703,86,164,0
8,8,2920,15647,92,148,0
9,9,3285,15601,94,140,0
10,10,3650,15544,102,159,0
11,11,4015,15447,90,187,0
12,12,4380,15403,108,152,0
13,13,4745,15368,121,156,0
14,14,5110,15288,93,173,0
15,15,5475,15212,116,192,0
16,16,5840,15164,132,180,0
17,17,6205,15064,123,223,0
18,18,6570,15008,121,177,0
19,19,6935,14948,140,200,0
20,20,7300,14886,138,200,0
