ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,49,138,0
1,1,365,16193,63,149,0
2,2,730,16116,60,137,0
3,3,1095,16050,80,146,0
4,4,1460,15986,88,152,0
5,5,1825,15920,93,159,0
6,6,2190,15882,96,134,0
7,7,2555,15831,87,138,0
8,8,2920,15752,72,151,0
9,9,3285,15670,80,162,0
10,10,3650,15630,115,155,0
11,11,4015,15566,93,157,0
12,12,4380,15525,123,164,0
13,13,4745,15493,108,140,0
14,14,5110,15435,117,175,0
15,15,5475,15401,132,166,0
16,16,5840,15325,124,200,0
17,17,6205,15262,140,203,0
18,18,6570,15234,152,180,0
19,19,6935,15162,116,188,0
20,20,7300,15112,133,183,0
