ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16281,58,144,0
1,1,365,16212,74,143,0
2,2,730,16138,69,143,0
3,3,1095,16074,86,150,0
4,4,1460,16023,87,138,0
5,5,1825,15948,77,152,0
6,6,2190,15908,92,132,0
7,7,2555,15819,85,174,0
8,8,2920,15785,105,139,0
9,9,3285,15715,94,164,0
10,10,3650,15660,95,150,0
11,11,4015,15620,97,137,0
12,12,4380,15583,119,156,0
13,13,4745,15519,111,175,0
14,14,5110,15471,115,163,0
15,15,5475,15406,124,189,0
16,16,5840,15357,133,182,0
17,17,6205,15321,145,181,0
18,18,6570,15263,126,184,0
19,19,6935,15216,138,185,0
20,20,7300,15181,140,175,0
