ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16265,52,154,0
1,1,365,16167,62,160,0
2,2,730,16110,88,145,0
3,3,1095,16017,72,165,0
4,4,1460,15953,73,137,0
5,5,1825,15900,93,146,0
6,6,2190,15817,78,161,0
7,7,2555,15746,89,160,0
8,8,2920,15666,90,170,0
9,9,3285,15582,81,165,0
10,10,3650,15550,120,152,0
11,11,4015,15492,111,169,0
12,12,4380,15435,102,159,0
13,13,4745,15402,113,146,0
14,14,5110,15329,120,193,0
15,15,5475,15303,117,143,0
16,16,5840,15238,134,199,0
17,17,6205,15194,134,178,0
18,18,6570,15136,115,173,0
19,19,6935,15093,142,185,0
20,20,7300,15049,135,179,0
