ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16298,65,136,0
1,1,365,16207,70,161,0
2,2,730,16136,68,139,0
3,3,1095,16065,72,143,0
4,4,1460,16011,87,141,0
5,5,1825,15950,79,140,0
6,6,2190,15912,91,129,0
7,7,2555,15857,110,165,0
8,8,2920,15807,115,165,0
9,9,3285,15748,99,158,0
10,10,3650,15717,101,132,0
11,11,4015,15663,106,160,0
12,12,4380,15644,118,137,0
13,13,4745,15614,121,151,0
14,14,5110,15562,99,151,0
15,15,5475,15488,100,174,0
16,16,5840,15430,135,193,0
17,17,6205,15394,139,175,0
18,18,6570,15328,131,197,0
19,19,6935,15290,167,205,0
20,20,7300,15240,141,191,0
