ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16273,22,118,0
1,1,365,16155,18,136,0
2,2,730,16007,17,165,0
3,3,1095,15872,22,157,0
4,4,1460,15738,26,160,0
5,5,1825,15630,23,131,0
6,6,2190,15478,15,167,0
7,7,2555,15349,23,152,0
8,8,2920,15223,14,140,0
9,9,3285,15095,17,145,0
10,10,3650,14925,20,190,0
11,11,4015,14806,23,142,0
12,12,4380,14682,30,154,0
13,13,4745,14535,23,170,0
14,14,5110,14407,24,152,0
15,15,5475,14254,15,168,0
16,16,5840,14085,24,193,0
17,17,6205,13932,29,182,0
18,18,6570,13803,35,164,0
19,19,6935,13621,24,206,0
20,20,7300,13453,24,192,0
