ind,time,age,male,female
0,0,0,24,34
1,0,1,126,117
2,0,2,155,142
3,0,3,142,135
4,0,4,153,162
5,0,5,165,134
6,0,6,168,141
7,0,7,157,169
8,0,8,166,166
9,0,9,171,151
10,0,10,156,170
11,0,11,171,171
12,0,12,145,154
13,0,13,151,149
14,0,14,143,136
15,0,15,132,145
16,0,16,132,131
17,0,17,126,141
18,0,18,135,156
19,0,19,131,130
20,0,20,138,124
21,0,21,67,73
22,0,22,73,75
23,0,23,72,88
24,0,24,79,81
25,0,25,76,77
26,0,26,87,89
27,0,27,94,90
28,0,28,91,94
29,0,29,97,96
30,0,30,83,90
31,0,31,93,96
32,0,32,106,99
33,0,33,97,103
34,0,34,99,98
35,0,35,87,112
36,0,36,99,103
37,0,37,96,112
38,0,38,110,108
39,0,39,101,95
40,0,40,103,107
41,0,41,110,131
42,0,42,108,106
43,0,43,107,100
44,0,44,74,96
45,0,45,92,113
46,0,46,85,94
47,0,47,107,108
48,0,48,80,98
49,0,49,86,90
50,0,50,103,85
51,0,51,153,153
52,0,52,138,138
53,0,53,121,137
54,0,54,130,112
55,0,55,117,112
56,0,56,115,106
57,0,57,122,108
58,0,58,89,89
59,0,59,79,77
60,0,60,91,91
61,0,61,72,79
62,0,62,78,64
63,0,63,62,82
64,0,64,67,69
65,0,65,61,61
66,0,66,69,55
67,0,67,62,50
68,0,68,62,68
69,0,69,60,59
70,0,70,43,52
71,0,71,58,45
72,0,72,52,44
73,0,73,34,55
74,0,74,44,39
75,0,75,36,33
76,0,76,32,30
77,0,77,30,36
78,0,78,36,28
79,0,79,28,26
80,0,80,26,23
81,0,81,21,25
82,0,82,20,21
83,0,83,17,15
84,0,84,11,15
85,0,85,12,17
86,0,86,15,12
87,0,87,12,14
88,0,88,16,6
89,0,89,10,9
90,0,90,9,13
91,0,91,8,6
92,0,92,2,6
93,0,93,8,8
94,0,94,7,2
95,0,95,12,4
96,0,96,5,3
97,0,97,6,3
98,0,98,3,3
99,0,99,1,1
100,0,100,4,3
101,0,101,0,0
102,1,0,28,16
103,1,1,24,34
104,1,2,126,117
105,1,3,155,142
106,1,4,142,135
107,1,5,153,162
108,1,6,164,134
109,1,7,168,141
110,1,8,157,169
111,1,9,166,166
112,1,10,170,151
113,1,11,156,169
114,1,12,171,171
115,1,13,145,154
116,1,14,151,149
117,1,15,143,136
118,1,16,132,145
119,1,17,132,131
120,1,18,126,141
121,1,19,135,155
122,1,20,131,130
123,1,21,138,124
124,1,22,67,73
125,1,23,73,75
126,1,24,72,88
127,1,25,78,81
128,1,26,75,77
129,1,27,87,89
130,1,28,94,90
131,1,29,91,94
132,1,30,96,96
133,1,31,83,90
134,1,32,93,96
135,1,33,106,99
136,1,34,97,103
137,1,35,98,97
138,1,36,87,112
139,1,37,99,102
140,1,38,94,112
141,1,39,110,108
142,1,40,101,95
143,1,41,103,107
144,1,42,109,131
145,1,43,108,106
146,1,44,107,100
147,1,45,74,96
148,1,46,91,113
149,1,47,85,93
150,1,48,107,108
151,1,49,80,98
152,1,50,86,89
153,1,51,103,85
154,1,52,152,153
155,1,53,138,138
156,1,54,118,136
157,1,55,129,111
158,1,56,117,112
159,1,57,115,106
160,1,58,121,107
161,1,59,89,88
162,1,60,78,76
163,1,61,91,89
164,1,62,71,77
165,1,63,75,64
166,1,64,61,82
167,1,65,65,69
168,1,66,59,60
169,1,67,68,55
170,1,68,59,50
171,1,69,60,66
172,1,70,58,59
173,1,71,43,52
174,1,72,57,44
175,1,73,49,44
176,1,74,34,53
177,1,75,42,39
178,1,76,30,32
179,1,77,29,28
180,1,78,30,34
181,1,79,36,27
182,1,80,23,26
183,1,81,21,20
184,1,82,19,23
185,1,83,20,19
186,1,84,17,14
187,1,85,9,15
188,1,86,11,15
189,1,87,14,9
190,1,88,12,14
191,1,89,13,4
192,1,90,7,6
193,1,91,8,10
194,1,92,7,5
195,1,93,1,6
196,1,94,7,5
197,1,95,6,2
198,1,96,9,1
199,1,97,3,2
200,1,98,5,3
201,1,99,2,3
202,1,100,0,1
203,1,101,0,0
204,2,0,35,31
205,2,1,28,16
206,2,2,24,34
207,2,3,126,116
208,2,4,155,142
209,2,5,142,135
210,2,6,153,162
211,2,7,164,134
212,2,8,168,141
213,2,9,157,169
214,2,10,166,166
215,2,11,170,151
216,2,12,156,169
217,2,13,171,171
218,2,14,145,154
219,2,15,151,149
220,2,16,143,136
221,2,17,131,144
222,2,18,132,131
223,2,19,126,141
224,2,20,135,154
225,2,21,131,130
226,2,22,138,124
227,2,23,67,73
228,2,24,73,75
229,2,25,72,88
230,2,26,77,81
231,2,27,75,77
232,2,28,87,89
233,2,29,94,90
234,2,30,91,94
235,2,31,96,96
236,2,32,83,90
237,2,33,92,96
238,2,34,106,99
239,2,35,97,103
240,2,36,98,97
241,2,37,87,111
242,2,38,99,102
243,2,39,94,112
244,2,40,110,108
245,2,41,101,95
246,2,42,103,107
247,2,43,109,131
248,2,44,108,106
249,2,45,107,100
250,2,46,74,96
251,2,47,91,113
252,2,48,84,92
253,2,49,107,108
254,2,50,80,98
255,2,51,86,89
256,2,52,102,84
257,2,53,152,153
258,2,54,138,137
259,2,55,118,136
260,2,56,129,110
261,2,57,116,112
262,2,58,113,106
263,2,59,120,107
264,2,60,88,88
265,2,61,78,76
266,2,62,91,88
267,2,63,71,76
268,2,64,75,64
269,2,65,59,81
270,2,66,63,69
271,2,67,58,59
272,2,68,66,53
273,2,69,54,50
274,2,70,58,66
275,2,71,56,57
276,2,72,41,52
277,2,73,56,40
278,2,74,45,42
279,2,75,29,51
280,2,76,40,38
281,2,77,29,31
282,2,78,25,27
283,2,79,28,34
284,2,80,34,27
285,2,81,20,25
286,2,82,15,20
287,2,83,14,20
288,2,84,19,18
289,2,85,13,14
290,2,86,8,12
291,2,87,8,13
292,2,88,14,6
293,2,89,9,12
294,2,90,13,4
295,2,91,5,4
296,2,92,8,9
297,2,93,6,4
298,2,94,0,5
299,2,95,5,3
300,2,96,5,2
301,2,97,9,1
302,2,98,3,1
303,2,99,3,2
304,2,100,1,3
305,2,101,0,0
306,3,0,30,44
307,3,1,35,31
308,3,2,28,16
309,3,3,24,34
310,3,4,126,116
311,3,5,155,142
312,3,6,142,135
313,3,7,153,162
314,3,8,164,134
315,3,9,168,141
316,3,10,157,169
317,3,11,166,166
318,3,12,170,151
319,3,13,156,169
320,3,14,171,171
321,3,15,145,154
322,3,16,151,149
323,3,17,143,136
324,3,18,131,144
325,3,19,132,131
326,3,20,126,140
327,3,21,135,154
328,3,22,131,130
329,3,23,137,124
330,3,24,67,73
331,3,25,73,75
332,3,26,72,88
333,3,27,77,81
334,3,28,75,76
335,3,29,87,89
336,3,30,93,89
337,3,31,91,94
338,3,32,96,96
339,3,33,83,90
340,3,34,92,96
341,3,35,106,99
342,3,36,97,102
343,3,37,98,97
344,3,38,87,111
345,3,39,99,101
346,3,40,94,112
347,3,41,110,108
348,3,42,101,94
349,3,43,103,107
350,3,44,109,131
351,3,45,108,106
352,3,46,107,99
353,3,47,74,96
354,3,48,91,113
355,3,49,83,92
356,3,50,106,108
357,3,51,80,98
358,3,52,86,88
359,3,53,102,84
360,3,54,151,153
361,3,55,137,136
362,3,56,118,136
