ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16280,80,167,0
1,1,365,16189,64,155,0
2,2,730,16113,69,145,0
3,3,1095,16067,97,143,0
4,4,1460,16011,77,133,0
5,5,1825,15935,76,152,0
6,6,2190,15884,105,156,0
7,7,2555,15833,89,140,0
8,8,2920,15804,122,151,0
9,9,3285,15760,110,154,0
10,10,3650,15706,102,156,0
11,11,4015,15651,116,171,0
12,12,4380,15605,113,159,0
13,13,4745,15557,122,170,0
14,14,5110,15466,113,204,0
15,15,5475,15356,98,208,0
16,16,5840,15307,135,184,0
17,17,6205,15240,125,192,0
18,18,6570,15226,146,160,0
19,19,6935,15168,129,187,0
20,20,7300,15116,134,186,0
