ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16264,50,153,0
1,1,365,16181,53,136,0
2,2,730,16100,63,144,0
3,3,1095,16024,77,153,0
4,4,1460,16009,93,108,0
5,5,1825,15911,76,174,0
6,6,2190,15824,62,149,0
7,7,2555,15750,83,157,0
8,8,2920,15694,88,144,0
9,9,3285,15666,109,137,0
10,10,3650,15612,96,150,0
11,11,4015,15598,106,120,0
12,12,4380,15541,118,175,0
13,13,4745,15485,109,165,0
14,14,5110,15420,103,168,0
15,15,5475,15396,124,148,0
16,16,5840,15293,99,202,0
17,17,6205,15247,114,160,0
18,18,6570,15194,120,173,0
19,19,6935,15143,149,200,0
20,20,7300,15098,153,198,0
