ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16304,64,128,0
1,1,365,16201,45,148,0
2,2,730,16119,50,132,0
3,3,1095,16039,69,149,0
4,4,1460,15940,55,154,0
5,5,1825,15867,52,125,0
6,6,2190,15761,40,146,0
7,7,2555,15643,61,179,0
8,8,2920,15545,58,156,0
9,9,3285,15454,51,142,0
10,10,3650,15382,58,130,0
11,11,4015,15272,56,166,0
12,12,4380,15174,52,150,0
13,13,4745,15091,59,142,0
14,14,5110,15009,85,167,0
15,15,5475,14875,65,199,0
16,16,5840,14785,81,171,0
17,17,6205,14667,71,189,0
18,18,6570,14546,63,184,0
19,19,6935,14444,78,180,0
20,20,7300,14329,72,187,0
