ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16252,12,127,0
1,1,365,16130,12,134,0
2,2,730,15997,10,143,0
3,3,1095,15875,9,131,0
4,4,1460,15753,13,135,0
5,5,1825,15611,10,152,0
6,6,2190,15470,14,155,0
7,7,2555,15352,9,127,0
8,8,2920,15194,15,173,0
9,9,3285,15045,11,160,0
10,10,3650,14897,11,159,0
11,11,4015,14766,15,146,0
12,12,4380,14616,10,160,0
13,13,4745,14436,9,189,0
14,14,5110,14272,17,181,0
15,15,5475,14088,11,195,0
16,16,5840,13941,15,162,0
17,17,6205,13785,20,176,0
18,18,6570,13607,9,187,0
19,19,6935,13458,14,163,0
20,20,7300,13275,14,197,0
