ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16275,58,150,0
1,1,365,16221,69,123,0
2,2,730,16148,82,155,0
3,3,1095,16096,85,137,0
4,4,1460,16025,84,155,0
5,5,1825,15974,81,132,0
6,6,2190,15917,90,147,0
7,7,2555,15859,87,145,0
8,8,2920,15827,108,140,0
9,9,3285,15756,94,165,0
10,10,3650,15702,122,176,0
11,11,4015,15646,103,159,0
12,12,4380,15598,110,158,0
13,13,4745,15541,90,147,0
14,14,5110,15469,115,187,0
15,15,5475,15425,136,180,0
16,16,5840,15382,139,182,0
17,17,6205,15331,131,182,0
18,18,6570,15304,154,181,0
19,19,6935,15271,125,158,0
20,20,7300,15230,126,167,0
