ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16278,62,152,0
1,1,365,16210,65,133,0
2,2,730,16133,80,157,0
3,3,1095,16060,68,141,0
4,4,1460,15989,79,150,0
5,5,1825,15905,56,140,0
6,6,2190,15856,89,138,0
7,7,2555,15826,88,118,0
8,8,2920,15784,82,124,0
9,9,3285,15722,95,157,0
10,10,3650,15665,97,154,0
11,11,4015,15596,82,151,0
12,12,4380,15569,116,143,0
13,13,4745,15514,111,166,0
14,14,5110,15484,114,144,0
15,15,5475,15427,111,168,0
16,16,5840,15364,115,178,0
17,17,6205,15298,125,191,0
18,18,6570,15255,141,184,0
19,19,6935,15212,142,185,0
20,20,7300,15137,132,207,0
