ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16231,10,146,0
1,1,365,16100,8,139,0
2,2,730,15964,19,155,0
3,3,1095,15834,14,144,0
4,4,1460,15701,10,143,0
5,5,1825,15561,10,150,0
6,6,2190,15418,13,156,0
7,7,2555,15262,15,171,0
8,8,2920,15133,10,139,0
9,9,3285,14990,11,154,0
10,10,3650,14849,11,152,0
11,11,4015,14727,16,138,0
12,12,4380,14573,14,168,0
13,13,4745,14449,18,142,0
14,14,5110,14257,9,201,0
15,15,5475,14118,18,157,0
16,16,5840,13930,15,203,0
17,17,6205,13776,11,165,0
18,18,6570,13615,17,178,0
19,19,6935,13448,14,181,0
20,20,7300,13255,13,206,0
