ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16266,62,165,0
1,1,365,16178,64,152,0
2,2,730,16104,64,138,0
3,3,1095,16041,74,137,0
4,4,1460,15970,74,145,0
5,5,1825,15907,87,150,0
6,6,2190,15857,83,133,0
7,7,2555,15785,80,152,0
8,8,2920,15706,84,163,0
9,9,3285,15626,74,154,0
10,10,3650,15551,83,158,0
11,11,4015,15462,70,159,0
12,12,4380,15384,102,180,0
13,13,4745,15296,87,175,0
14,14,5110,15236,110,170,0
15,15,5475,15140,89,185,0
16,16,5840,15066,105,179,0
17,17,6205,14996,94,164,0
18,18,6570,14921,124,199,0
19,19,6935,14880,139,180,0
20,20,7300,14825,129,184,0
