ind,time,age,male,female
0,0,0,27,28
1,0,1,143,126
2,0,2,132,126
3,0,3,156,147
4,0,4,149,144
5,0,5,150,167
6,0,6,161,142
7,0,7,150,152
8,0,8,154,160
9,0,9,132,141
10,0,10,137,151
11,0,11,158,145
12,0,12,157,149
13,0,13,159,145
14,0,14,139,167
15,0,15,125,128
16,0,16,133,124
17,0,17,135,149
18,0,18,129,160
19,0,19,127,134
20,0,20,131,127
21,0,21,89,70
22,0,22,89,64
23,0,23,86,83
24,0,24,85,66
25,0,25,95,82
26,0,26,82,91
27,0,27,89,89
28,0,28,94,81
29,0,29,90,72
30,0,30,99,88
31,0,31,106,109
32,0,32,97,95
33,0,33,104,104
34,0,34,110,113
35,0,35,90,124
36,0,36,95,105
37,0,37,100,123
38,0,38,123,96
39,0,39,112,121
40,0,40,117,105
41,0,41,126,93
42,0,42,102,115
43,0,43,95,101
44,0,44,122,103
45,0,45,97,91
46,0,46,108,107
47,0,47,97,95
48,0,48,98,83
49,0,49,79,100
50,0,50,81,95
51,0,51,134,152
52,0,52,124,140
53,0,53,122,110
54,0,54,120,150
55,0,55,113,116
56,0,56,107,128
57,0,57,107,137
58,0,58,107,115
59,0,59,87,116
60,0,60,81,100
61,0,61,83,75
62,0,62,73,55
63,0,63,55,63
64,0,64,55,66
65,0,65,70,60
66,0,66,49,50
67,0,67,59,65
68,0,68,56,61
69,0,69,61,56
70,0,70,52,40
71,0,71,40,50
72,0,72,47,49
73,0,73,47,46
74,0,74,41,35
75,0,75,42,44
76,0,76,42,49
77,0,77,28,27
78,0,78,21,32
79,0,79,19,25
80,0,80,16,18
81,0,81,23,16
82,0,82,13,15
83,0,83,13,13
84,0,84,13,17
85,0,85,13,15
86,0,86,13,12
87,0,87,8,12
88,0,88,14,13
89,0,89,10,10
90,0,90,6,8
91,0,91,7,9
92,0,92,7,7
93,0,93,10,6
94,0,94,9,2
95,0,95,4,7
96,0,96,4,5
97,0,97,4,3
98,0,98,3,3
99,0,99,4,1
100,0,100,2,3
101,0,101,0,0
102,1,0,13,10
103,1,1,27,28
104,1,2,143,126
105,1,3,132,125
106,1,4,156,147
107,1,5,149,144
108,1,6,150,167
109,1,7,161,142
110,1,8,150,152
111,1,9,154,160
112,1,10,132,141
113,1,11,137,151
114,1,12,158,145
115,1,13,157,149
116,1,14,159,145
117,1,15,139,167
118,1,16,125,128
119,1,17,133,124
120,1,18,135,149
121,1,19,129,159
122,1,20,127,133
123,1,21,131,127
124,1,22,89,70
125,1,23,89,64
126,1,24,85,83
127,1,25,85,66
128,1,26,95,82
129,1,27,82,91
130,1,28,89,89
131,1,29,94,81
132,1,30,90,72
133,1,31,99,88
134,1,32,106,109
135,1,33,97,95
136,1,34,104,104
137,1,35,110,113
138,1,36,90,124
139,1,37,95,105
140,1,38,100,123
141,1,39,123,96
142,1,40,112,121
143,1,41,117,105
144,1,42,125,93
145,1,43,102,115
146,1,44,95,101
147,1,45,122,103
148,1,46,97,91
149,1,47,106,107
150,1,48,95,95
151,1,49,98,83
152,1,50,79,100
153,1,51,80,95
154,1,52,133,152
155,1,53,124,139
156,1,54,122,110
157,1,55,120,149
158,1,56,111,116
159,1,57,106,127
160,1,58,107,137
161,1,59,107,115
162,1,60,86,115
163,1,61,81,100
164,1,62,81,75
165,1,63,72,55
166,1,64,55,62
167,1,65,54,66
168,1,66,69,59
169,1,67,48,50
170,1,68,58,64
171,1,69,55,60
172,1,70,59,55
173,1,71,49,39
174,1,72,39,50
175,1,73,44,47
176,1,74,46,45
177,1,75,39,34
178,1,76,38,42
179,1,77,40,46
180,1,78,25,26
181,1,79,18,30
182,1,80,16,24
183,1,81,15,18
184,1,82,20,15
185,1,83,13,15
186,1,84,12,12
187,1,85,11,16
188,1,86,12,15
189,1,87,9,10
190,1,88,7,10
191,1,89,10,10
192,1,90,6,8
193,1,91,6,6
194,1,92,6,7
195,1,93,5,4
196,1,94,9,4
197,1,95,7,2
198,1,96,3,5
199,1,97,4,4
200,1,98,3,2
201,1,99,3,2
202,1,100,4,1
203,1,101,0,0
204,2,0,6,14
205,2,1,13,10
206,2,2,26,28
207,2,3,143,126
208,2,4,132,125
209,2,5,156,147
210,2,6,148,144
211,2,7,149,167
212,2,8,161,141
213,2,9,150,152
214,2,10,154,159
215,2,11,132,141
216,2,12,137,151
217,2,13,158,144
218,2,14,157,148
219,2,15,158,145
220,2,16,139,166
221,2,17,124,128
222,2,18,133,123
223,2,19,134,149
224,2,20,129,159
225,2,21,127,133
226,2,22,131,127
227,2,23,89,70
228,2,24,89,64
229,2,25,85,83
230,2,26,85,66
231,2,27,95,82
232,2,28,82,91
233,2,29,89,89
234,2,30,93,81
235,2,31,90,72
236,2,32,99,88
237,2,33,105,109
238,2,34,97,95
239,2,35,104,104
240,2,36,110,113
241,2,37,89,124
242,2,38,94,105
243,2,39,100,123
244,2,40,123,96
245,2,41,112,121
246,2,42,117,105
247,2,43,124,93
248,2,44,102,115
249,2,45,95,101
250,2,46,122,103
251,2,47,97,91
252,2,48,106,106
253,2,49,95,95
254,2,50,98,83
255,2,51,79,100
256,2,52,79,94
257,2,53,133,152
258,2,54,123,139
259,2,55,121,110
260,2,56,119,148
261,2,57,111,115
262,2,58,105,125
263,2,59,107,135
264,2,60,106,114
265,2,61,86,115
266,2,62,81,100
267,2,63,79,75
268,2,64,71,53
269,2,65,55,61
270,2,66,50,65
271,2,67,68,59
272,2,68,47,49
273,2,69,56,63
274,2,70,55,59
275,2,71,56,52
276,2,72,46,36
277,2,73,37,47
278,2,74,41,47
279,2,75,44,45
280,2,76,39,33
281,2,77,35,41
282,2,78,36,44
283,2,79,23,26
284,2,80,17,30
285,2,81,14,22
286,2,82,12,18
287,2,83,18,14
288,2,84,13,13
289,2,85,11,12
290,2,86,9,13
291,2,87,9,10
292,2,88,9,8
293,2,89,6,7
294,2,90,8,9
295,2,91,6,7
296,2,92,5,3
297,2,93,5,4
298,2,94,3,4
299,2,95,6,3
300,2,96,5,2
301,2,97,2,5
302,2,98,4,2
303,2,99,2,1
304,2,100,3,1
305,2,101,0,0
306,3,0,5,18
307,3,1,6,14
308,3,2,13,10
309,3,3,26,28
310,3,4,143,126
311,3,5,132,125
312,3,6,156,147
313,3,7,148,144
314,3,8,149,167
315,3,9,161,141
316,3,10,150,152
317,3,11,154,159
318,3,12,132,141
319,3,13,137,151
320,3,14,158,144
321,3,15,156,148
322,3,16,158,145
323,3,17,139,166
324,3,18,123,128
325,3,19,133,123
326,3,20,134,148
327,3,21,129,159
328,3,22,127,133
329,3,23,131,127
330,3,24,89,70
331,3,25,89,64
332,3,26,85,83
333,3,27,85,66
334,3,28,95,82
335,3,29,82,91
336,3,30,88,89
337,3,31,93,81
338,3,32,90,72
339,3,33,99,88
340,3,34,105,109
341,3,35,97,95
342,3,36,104,104
343,3,37,108,113
344,3,38,89,124
345,3,39,94,105
346,3,40,100,123
347,3,41,123,96
348,3,42,112,121
349,3,43,117,105
350,3,44,124,93
351,3,45,102,114
352,3,46,95,101
353,3,47,122,103
354,3,48,95,91
355,3,49,105,106
356,3,50,95,95
357,3,51,96,83
358,3,52,79,100
359,3,53,77,94
360,3,54,133,152
361,3,55,122,139
362,3,56,121,109
363,3,57,118,147
364,3,58,110,112
365,3,59,105,123
366,3,60,106,133
367,3,61,102,111
368,3,62,84,114
369,3,63,80,99
370,3,64,76,73
371,3,65,70,53
372,3,66,54,61
373,3,67,49,64
374,3,68,64,59
375,3,69,45,48
376,3,70,54,62
377,3,71,51,58
378,3,72,53,51
379,3,73,43,34
380,3,74,35,47
381,3,75,40,45
382,3,76,38,43
383,3,77,35,33
384,3,78,31,41
385,3,79,31,42
386,3,80,21,21
387,3,81,16,28
388,3,82,12,21
389,3,83,12,16
390,3,84,17,13
391,3,85,12,10
392,3,86,9,12
393,3,87,8,10
394,3,88,8,9
395,3,89,6,7
396,3,90,6,7
397,3,91,7,7
398,3,92,3,5
399,3,93,5,3
400,3,94,4,3
401,3,95,1,3
402,3,96,5,3
403,3,97,4,2
404,3,98,2,4
405,3,99,3,1
406,3,100,2,1
407,3,101,0,0
408,4,0,23,12
409,4,1,5,18
410,4,2,6,14
411,4,3,13,10
412,4,4,26,28
413,4,5,143,126
414,4,6,132,125
415,4,7,156,147
416,4,8,148,144
417,4,9,149,167
418,4,10,160,141
419,4,11,150,152
420,4,12,154,159
421,4,13,132,141
422,4,14,137,151
423,4,15,158,144
424,4,16,156,148
425,4,17,158,145
426,4,18,138,166
427,4,19,123,128
428,4,20,133,123
429,4,21,133,148
430,4,22,129,159
431,4,23,127,133
432,4,24,131,127
433,4,25,89,70
434,4,26,89,64
435,4,27,85,83
436,4,28,85,66
437,4,29,95,82
438,4,30,82,91
439,4,31,88,89
440,4,32,92,81
441,4,33,90,72
442,4,34,99,88
443,4,35,105,109
444,4,36,97,94
445,4,37,104,104
446,4,38,107,113
447,4,39,89,124
448,4,40,94,105
449,4,41,100,123
450,4,42,122,96
451,4,43,112,121
452,4,44,117,105
453,4,45,124,93
454,4,46,102,114
455,4,47,95,100
456,4,48,122,103
457,4,49,95,91
458,4,50,104,104
459,4,51,94,95
460,4,52,93,83
461,4,53,79,100
462,4,54,77,94
463,4,55,133,152
464,4,56,120,139
465,4,57,121,107
466,4,58,118,147
467,4,59,109,110
468,4,60,104,121
469,4,61,106,132
470,4,62,102,111
471,4,63,82,114
472,4,64,78,97
473,4,65,75,72
474,4,66,68,53
475,4,67,53,60
476,4,68,49,64
477,4,69,63,57
478,4,70,45,47
479,4,71,49,59
480,4,72,50,57
481,4,73,46,49
482,4,74,42,33
483,4,75,31,46
484,4,76,37,41
485,4,77,34,41
486,4,78,32,30
487,4,79,29,39
488,4,80,28,39
489,4,81,21,19
490,4,82,16,24
491,4,83,12,20
492,4,84,12,15
493,4,85,16,12
494,4,86,12,10
495,4,87,9,11
496,4,88,7,9
497,4,89,8,9
498,4,90,6,4
499,4,91,5,6
500,4,92,4,7
501,4,93,3,3
502,4,94,3,3
503,4,95,3,2
504,4,96,1,2
505,4,97,5,3
506,4,98,4,2
507,4,99,2,2
508,4,100,2,1
509,4,101,0,0
510,5,0,10,20
511,5,1,23,12
512,5,2,5,18
513,5,3,6,14
514,5,4,13,10
515,5,5,26,28
516,5,6,143,126
517,5,7,132,125
518,5,8,156,147
519,5,9,148,144
520,5,10,149,167
521,5,11,160,141
522,5,12,150,152
523,5,13,154,159
524,5,14,132,141
525,5,15,137,151
526,5,16,158,144
527,5,17,156,148
528,5,18,158,145
529,5,19,138,166
530,5,20,123,128
531,5,21,133,123
532,5,22,133,148
533,5,23,129,159
534,5,24,127,133
535,5,25,130,127
536,5,26,89,70
537,5,27,89,64
538,5,28,85,83
539,5,29,84,66
540,5,30,95,82
541,5,31,82,91
542,5,32,88,89
543,5,33,92,81
544,5,34,90,72
545,5,35,99,88
546,5,36,105,109
