ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16274,54,148,0
1,1,365,16224,72,122,0
2,2,730,16155,76,145,0
3,3,1095,16083,70,142,0
4,4,1460,16016,72,139,0
5,5,1825,15925,74,165,0
6,6,2190,15867,78,136,0
7,7,2555,15796,76,147,0
8,8,2920,15707,71,160,0
9,9,3285,15633,82,156,0
10,10,3650,15584,105,154,0
11,11,4015,15551,108,141,0
12,12,4380,15507,115,159,0
13,13,4745,15492,125,140,0
14,14,5110,15412,110,190,0
15,15,5475,15354,133,191,0
16,16,5840,15337,130,147,0
17,17,6205,15289,126,174,0
18,18,6570,15242,123,170,0
19,19,6935,15212,134,164,0
20,20,7300,15142,125,195,0
