ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16275,61,155,0
1,1,365,16214,74,135,0
2,2,730,16116,69,167,0
3,3,1095,16045,75,146,0
4,4,1460,15967,78,156,0
5,5,1825,15902,81,146,0
6,6,2190,15830,95,167,0
7,7,2555,15746,77,161,0
8,8,2920,15686,80,140,0
9,9,3285,15600,88,174,0
10,10,3650,15542,94,152,0
11,11,4015,15491,95,146,0
12,12,4380,15457,113,147,0
13,13,4745,15409,118,166,0
14,14,5110,15350,122,181,0
15,15,5475,15279,98,169,0
16,16,5840,15234,120,165,0
17,17,6205,15179,125,180,0
18,18,6570,15102,113,190,0
19,19,6935,15046,124,180,0
20,20,7300,14965,129,210,0
