ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16266,37,138,0
1,1,365,16138,27,155,0
2,2,730,16007,20,151,0
3,3,1095,15898,29,138,0
4,4,1460,15763,17,152,0
5,5,1825,15647,22,138,0
6,6,2190,15542,27,132,0
7,7,2555,15420,24,146,0
8,8,2920,15274,25,171,0
9,9,3285,15152,20,142,0
10,10,3650,15044,24,132,0
11,11,4015,14892,19,171,0
12,12,4380,14756,22,158,0
13,13,4745,14636,31,151,0
14,14,5110,14468,24,192,0
15,15,5475,14320,25,173,0
16,16,5840,14180,30,170,0
17,17,6205,14048,34,166,0
18,18,6570,13900,25,173,0
19,19,6935,13737,27,190,0
20,20,7300,13594,26,169,0
