ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16266,59,160,0
1,1,365,16180,66,152,0
2,2,730,16098,55,137,0
3,3,1095,16007,57,148,0
4,4,1460,15918,64,153,0
5,5,1825,15826,62,154,0
6,6,2190,15733,63,156,0
7,7,2555,15653,76,156,0
8,8,2920,15573,74,154,0
9,9,3285,15491,73,155,0
10,10,3650,15427,82,146,0
11,11,4015,15332,72,167,0
12,12,4380,15270,84,146,0
13,13,4745,15208,96,158,0
14,14,5110,15130,89,167,0
15,15,5475,15072,88,146,0
16,16,5840,14976,93,189,0
17,17,6205,14891,92,177,0
18,18,6570,14806,101,186,0
19,19,6935,14718,90,178,0
20,20,7300,14617,81,182,0
