ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16282,60,147,0
1,1,365,16206,71,147,0
2,2,730,16116,62,152,0
3,3,1095,16031,73,158,0
4,4,1460,15975,83,139,0
5,5,1825,15927,89,137,0
6,6,2190,15880,83,130,0
7,7,2555,15814,101,167,0
8,8,2920,15758,87,143,0
9,9,3285,15709,98,147,0
10,10,3650,15669,94,134,0
11,11,4015,15616,91,144,0
12,12,4380,15580,118,154,0
13,13,4745,15547,121,154,0
14,14,5110,15516,126,157,0
15,15,5475,15487,109,138,0
16,16,5840,15431,126,182,0
17,17,6205,15400,137,168,0
18,18,6570,15335,137,202,0
19,19,6935,15274,134,195,0
20,20,7300,15231,141,184,0
