ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16287,70,151,0
1,1,365,16233,72,126,0
2,2,730,16147,64,150,0
3,3,1095,16085,87,149,0
4,4,1460,16030,86,141,0
5,5,1825,15981,75,124,0
6,6,2190,15925,101,157,0
7,7,2555,15861,84,148,0
8,8,2920,15822,102,141,0
9,9,3285,15781,104,145,0
10,10,3650,15703,79,157,0
11,11,4015,15636,107,174,0
12,12,4380,15605,115,146,0
13,13,4745,15550,120,175,0
14,14,5110,15518,128,160,0
15,15,5475,15460,109,167,0
16,16,5840,15403,134,191,0
17,17,6205,15355,143,191,0
18,18,6570,15302,121,174,0
19,19,6935,15246,135,191,0
20,20,7300,15214,150,182,0
