ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16279,49,138,0
1,1,365,16198,71,152,0
2,2,730,16116,75,157,0
3,3,1095,16034,67,149,0
4,4,1460,15991,91,134,0
5,5,1825,15933,88,146,0
6,6,2190,15872,82,143,0
7,7,2555,15818,83,137,0
8,8,2920,15776,101,143,0
9,9,3285,15731,108,153,0
10,10,3650,15717,111,125,0
11,11,4015,15621,89,185,0
12,12,4380,15555,108,174,0
13,13,4745,15534,123,144,0
14,14,5110,15474,117,177,0
15,15,5475,15417,120,177,0
16,16,5840,15354,117,180,0
17,17,6205,15314,124,164,0
18,18,6570,15255,138,197,0
19,19,6935,15208,145,192,0
20,20,7300,15144,142,206,0
