ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16285,65,147,0
1,1,365,16214,62,133,0
2,2,730,16140,85,159,0
3,3,1095,16081,74,133,0
4,4,1460,16041,85,125,0
5,5,1825,15976,75,140,0
6,6,2190,15915,93,154,0
7,7,2555,15878,90,127,0
8,8,2920,15809,90,159,0
9,9,3285,15739,87,157,0
10,10,3650,15670,102,171,0
11,11,4015,15609,101,162,0
12,12,4380,15545,96,160,0
13,13,4745,15494,106,157,0
14,14,5110,15435,115,174,0
15,15,5475,15376,108,167,0
16,16,5840,15333,136,179,0
17,17,6205,15280,103,156,0
18,18,6570,15223,131,188,0
19,19,6935,15155,119,187,0
20,20,7300,15069,113,199,0
