ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16306,76,138,0
1,1,365,16250,75,131,0
2,2,730,16168,59,141,0
3,3,1095,16104,76,140,0
4,4,1460,16036,81,149,0
5,5,1825,15971,91,156,0
6,6,2190,15904,80,147,0
7,7,2555,15859,95,140,0
8,8,2920,15827,106,138,0
9,9,3285,15786,111,152,0
10,10,3650,15737,107,156,0
11,11,4015,15685,126,178,0
12,12,4380,15612,112,185,0
13,13,4745,15561,116,167,0
14,14,5110,15498,119,182,0
15,15,5475,15468,125,155,0
16,16,5840,15436,126,158,0
17,17,6205,15367,126,195,0
18,18,6570,15298,117,186,0
19,19,6935,15238,135,195,0
20,20,7300,15191,138,185,0
