ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16304,69,132,0
1,1,365,16232,71,143,0
2,2,730,16181,83,134,0
3,3,1095,16111,63,133,0
4,4,1460,16039,75,147,0
5,5,1825,15947,75,167,0
6,6,2190,15888,86,145,0
7,7,2555,15844,95,139,0
8,8,2920,15801,108,151,0
9,9,3285,15751,100,150,0
10,10,3650,15701,112,162,0
11,11,4015,15680,122,143,0
12,12,4380,15640,124,164,0
13,13,4745,15608,123,155,0
14,14,5110,15533,118,193,0
15,15,5475,15481,115,167,0
16,16,5840,15446,134,169,0
17,17,6205,15400,135,181,0
18,18,6570,15353,147,194,0
19,19,6935,15297,130,186,0
20,20,7300,15251,153,199,0
