ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16286,50,132,0
1,1,365,16185,60,161,0
2,2,730,16120,64,129,0
3,3,1095,16025,66,161,0
4,4,1460,15971,83,137,0
5,5,1825,15888,61,144,0
6,6,2190,15819,79,148,0
7,7,2555,15773,97,143,0
8,8,2920,15687,76,162,0
9,9,3285,15619,85,153,0
10,10,3650,15570,99,148,0
11,11,4015,15516,105,159,0
12,12,4380,15472,113,157,0
13,13,4745,15402,88,158,0
14,14,5110,15376,122,148,0
15,15,5475,15301,94,169,0
16,16,5840,15242,109,168,0
17,17,6205,15215,132,159,0
18,18,6570,15147,121,189,0
19,19,6935,15073,128,202,0
20,20,7300,15017,124,180,0
