ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16304,68,133,0
1,1,365,16240,78,142,0
2,2,730,16180,73,133,0
3,3,1095,16092,68,156,0
4,4,1460,16014,78,156,0
5,5,1825,15915,61,160,0
6,6,2190,15840,64,139,0
7,7,2555,15752,60,148,0
8,8,2920,15681,70,141,0
9,9,3285,15590,66,157,0
10,10,3650,15497,73,166,0
11,11,4015,15398,73,172,0
12,12,4380,15332,66,132,0
13,13,4745,15280,88,140,0
14,14,5110,15198,97,179,0
15,15,5475,15108,80,170,0
16,16,5840,15048,105,165,0
17,17,6205,14964,105,189,0
18,18,6570,14869,93,188,0
19,19,6935,14765,103,207,0
20,20,7300,14683,111,193,0
