ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16284,56,139,0
1,1,365,16201,63,146,0
2,2,730,16132,73,142,0
3,3,1095,16054,74,152,0
4,4,1460,15979,79,154,0
5,5,1825,15900,73,152,0
6,6,2190,15823,77,154,0
7,7,2555,15761,83,145,0
8,8,2920,15685,81,157,0
9,9,3285,15618,80,147,0
10,10,3650,15575,92,135,0
11,11,4015,15532,103,146,0
12,12,4380,15489,114,157,0
13,13,4745,15426,116,179,0
14,14,5110,15365,104,165,0
15,15,5475,15276,108,197,0
16,16,5840,15213,113,176,0
17,17,6205,15154,112,171,0
18,18,6570,15103,120,171,0
19,19,6935,15055,127,175,0
20,20,7300,14999,128,184,0
