ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16234,24,158,0
1,1,365,16130,16,120,0
2,2,730,16001,19,148,0
3,3,1095,15870,22,153,0
4,4,1460,15764,22,128,0
5,5,1825,15645,14,133,0
6,6,2190,15539,22,128,0
7,7,2555,15414,16,141,0
8,8,2920,15277,16,153,0
9,9,3285,15156,25,146,0
10,10,3650,15026,20,150,0
11,11,4015,14886,19,159,0
12,12,4380,14742,22,166,0
13,13,4745,14603,24,163,0
14,14,5110,14445,23,181,0
15,15,5475,14288,20,177,0
16,16,5840,14150,25,163,0
17,17,6205,13981,27,196,0
18,18,6570,13829,15,167,0
19,19,6935,13674,27,182,0
20,20,7300,13491,23,206,0
