ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16232,14,150,0
1,1,365,16111,18,139,0
2,2,730,15979,15,147,0
3,3,1095,15866,19,132,0
4,4,1460,15744,14,136,0
5,5,1825,15623,20,141,0
6,6,2190,15501,14,136,0
7,7,2555,15374,16,143,0
8,8,2920,15239,18,153,0
9,9,3285,15102,10,147,0
10,10,3650,14966,14,150,0
11,11,4015,14844,17,139,0
12,12,4380,14709,16,151,0
13,13,4745,14542,10,177,0
14,14,5110,14405,23,160,0
15,15,5475,14276,32,161,0
16,16,5840,14127,19,168,0
17,17,6205,13997,28,158,0
18,18,6570,13863,21,155,0
19,19,6935,13691,19,191,0
20,20,7300,13498,6,199,0
