ind,years,days,no_individuals,no_births,no_deaths,no_immigrants
0,0,0,16208,8,167,0
1,1,365,16068,13,153,0
2,2,730,15925,9,152,0
3,3,1095,15802,9,132,0
4,4,1460,15654,13,161,0
5,5,1825,15509,9,154,0
6,6,2190,15377,15,147,0
7,7,2555,15208,10,179,0
8,8,2920,15071,12,149,0
9,9,3285,14920,11,162,0
10,10,3650,14766,11,165,0
11,11,4015,14619,12,159,0
12,12,4380,14464,13,168,0
13,13,4745,14323,16,157,0
14,14,5110,14180,12,155,0
15,15,5475,14027,19,172,0
16,16,5840,13869,12,170,0
17,17,6205,13687,15,197,0
18,18,6570,13531,9,165,0
19,19,6935,13367,18,182,0
20,20,7300,13216,7,158,0
